ID;Designator;Quantity;THT ogiginal;Footprint;Name, variant 1;Name, variant 2
1;C701,C702,C703;3;;1206;C 100pF;T491A104M035AT
2;C704;1;;1206;C 1nF;CC1206KRX7R9BB102
3;R701,R702;2;;2512;R 0,5;CS12FTFSR500
4;R703,R710;2;;1206;R 180;1206S4F1800T5E
5;R705,R715;2;;1206;R 1k8;1206S4J0182T5E
6;R706;1;;1206;R 3k3;1206S4J0332T5E
7;R707;1;;1206;R 1k5;1206S4J0152T5E
8;R711;1;;1206;R 1k;1206S4F1001T5E
9;R712;1;;1206;R 68k;1206S4F6802T5E
10;R713;1;;1206;R 62k;1206S4J0623T5E
11;R714;1;;1206;R 47k;1206S4J0473T5E
12;R716;1;;1206;R 91;1206S4F910JT5E
13;R717;1;;1206;R 3k6;1206S4J0362T5E
14;R708;1;;;G32AT-B102;G32AT-B102
15;T701;1;BC308A;SOT23;BC858CMTF;BC858A
16;T702;1;BC237;SOT23;BC817-40-HT-SOT23;BC847B
17;T703,T704;2;BD135;SOT223;BCP54;FZT651TA
18;T705;1;BD136;SOT223;BCP51;FZT751TA
19;T706,T707;2;KD502;DPAK;MJD3055T4G;MJD44H11G
